,asia,tub,smoke,lung,bronc,either,xray,dysp
251,no,no,no,no,no,no,no,yes
252,no,no,yes,no,yes,no,no,yes
253,no,no,no,no,yes,no,no,yes
254,no,no,no,no,no,no,no,no
255,no,no,no,no,no,no,no,no
256,no,no,yes,yes,yes,yes,yes,yes
257,no,no,yes,no,yes,no,no,yes
258,no,no,no,no,yes,no,no,no
259,no,no,yes,no,no,no,no,no
260,no,no,no,no,no,no,no,no
261,no,no,no,no,no,no,no,no
262,no,no,no,no,no,no,no,no
263,no,no,yes,no,no,no,no,yes
264,no,no,yes,no,yes,no,no,yes
265,no,no,no,no,no,no,yes,yes
266,no,no,no,no,yes,no,no,yes
267,no,no,yes,no,yes,no,no,yes
268,no,yes,no,no,yes,yes,yes,yes
269,no,no,yes,no,yes,no,no,yes
270,no,no,yes,no,no,no,no,no
271,no,no,no,no,yes,no,no,no
272,no,no,yes,no,no,no,no,no
273,no,no,yes,no,yes,no,no,yes
274,no,no,yes,no,no,no,no,no
275,no,no,yes,no,no,no,no,no
276,no,no,yes,no,no,no,no,no
277,no,no,no,no,no,no,no,no
278,no,no,yes,no,yes,no,no,no
279,no,no,no,no,no,no,no,no
280,no,no,no,no,no,no,no,no
281,no,no,no,no,no,no,no,no
282,no,no,no,no,no,no,no,no
283,no,no,no,no,no,no,no,no
284,no,no,yes,no,yes,no,no,yes
285,no,no,yes,no,yes,no,no,yes
286,no,no,no,no,no,no,no,no
287,no,yes,no,no,no,yes,yes,no
288,no,no,no,no,no,no,no,no
289,no,no,no,no,no,no,no,no
290,no,no,yes,no,yes,no,no,yes
291,no,no,no,no,yes,no,no,yes
292,no,no,yes,yes,no,yes,yes,yes
293,no,no,yes,no,no,no,no,no
294,no,no,yes,yes,yes,yes,yes,yes
295,no,no,yes,no,yes,no,no,yes
296,no,no,yes,no,yes,no,no,no
297,no,no,no,no,yes,no,no,yes
298,no,no,yes,no,yes,no,no,no
299,no,no,yes,no,yes,no,no,yes
300,no,no,yes,no,yes,no,no,yes
301,no,no,no,no,no,no,no,no
302,no,no,yes,no,yes,no,no,yes
303,no,no,no,no,no,no,no,no
304,no,no,yes,no,no,no,no,no
305,no,no,no,no,no,no,no,no
306,no,no,yes,no,yes,no,no,yes
307,no,no,no,no,yes,no,yes,yes
308,no,no,no,no,yes,no,no,yes
309,no,no,no,no,yes,no,no,yes
310,no,no,no,no,no,no,no,no
311,no,no,yes,no,no,no,no,no
312,no,no,no,no,no,no,no,no
313,no,no,yes,no,no,no,no,no
314,no,no,yes,no,no,no,no,no
315,no,no,no,no,yes,no,no,yes
316,no,no,no,no,no,no,no,no
317,no,no,no,no,no,no,no,no
318,no,no,no,no,no,no,no,no
319,no,no,yes,yes,yes,yes,yes,yes
320,no,no,no,no,no,no,no,no
321,no,no,no,no,no,no,no,no
322,no,no,no,no,no,no,no,no
323,no,no,no,no,yes,no,no,yes
324,no,no,yes,no,no,no,no,no
325,yes,no,yes,no,yes,no,no,yes
326,no,no,yes,no,no,no,no,no
327,no,no,yes,no,no,no,no,yes
328,no,no,yes,no,no,no,no,no
329,no,no,yes,yes,no,yes,yes,no
330,no,no,no,no,no,no,no,no
331,no,no,no,no,no,no,no,no
332,no,no,no,no,no,no,no,no
333,no,no,no,no,no,no,no,no
334,no,no,yes,no,no,no,no,no
335,no,no,yes,no,yes,no,no,yes
336,no,no,yes,no,yes,no,no,yes
337,no,no,no,no,yes,no,no,yes
338,no,no,yes,yes,yes,yes,yes,yes
339,no,no,no,no,no,no,no,yes
340,no,no,no,no,no,no,no,no
341,no,no,yes,no,no,no,no,no
342,no,no,yes,no,yes,no,no,yes
343,no,no,yes,no,yes,no,no,yes
344,no,no,no,no,no,no,no,no
345,no,no,yes,no,no,no,no,no
346,no,no,yes,no,yes,no,no,no
347,no,no,no,no,yes,no,yes,yes
348,no,no,no,no,yes,no,no,yes
349,no,no,yes,no,yes,no,no,yes
350,no,no,yes,no,no,no,no,no
351,no,no,no,no,yes,no,no,yes
352,no,no,yes,no,yes,no,no,yes
353,no,no,no,no,no,no,no,no
354,no,no,no,no,no,no,no,no
355,no,no,no,no,yes,no,yes,yes
356,yes,no,no,no,no,no,no,yes
357,no,no,yes,no,yes,no,no,yes
358,no,no,yes,no,yes,no,no,yes
359,no,no,no,no,yes,no,no,no
360,no,no,yes,no,yes,no,no,yes
361,no,no,no,no,no,no,no,no
362,no,no,yes,no,no,no,no,no
363,no,no,no,no,yes,no,no,yes
364,no,no,no,no,no,no,no,no
365,no,no,no,no,no,no,no,no
366,no,no,yes,no,no,no,yes,no
367,no,no,no,yes,no,yes,yes,no
368,no,no,no,no,no,no,no,no
369,no,no,no,no,no,no,no,no
370,no,no,yes,no,yes,no,yes,no
371,no,no,yes,no,yes,no,no,no
372,no,no,no,no,no,no,no,no
373,no,no,yes,no,yes,no,no,yes
374,no,no,no,no,no,no,no,no
375,no,no,no,no,yes,no,no,yes
376,no,no,no,no,no,no,no,no
377,no,no,no,no,no,no,no,no
378,no,no,no,no,no,no,yes,no
379,no,no,yes,no,yes,no,no,yes
380,no,no,no,no,no,no,no,no
381,no,no,no,no,no,no,no,no
382,no,no,yes,no,yes,no,no,yes
383,no,no,no,no,yes,no,no,yes
384,no,no,yes,no,yes,no,no,no
385,no,no,yes,no,yes,no,yes,yes
386,no,no,no,no,yes,no,no,yes
387,no,no,no,no,no,no,no,no
388,no,no,no,no,yes,no,no,yes
389,no,no,yes,yes,yes,yes,yes,yes
390,no,no,no,no,yes,no,no,yes
391,no,no,yes,no,no,no,no,no
392,no,no,no,no,no,no,no,no
393,no,no,no,no,yes,no,no,yes
394,no,no,no,no,no,no,no,no
395,no,no,no,no,yes,no,no,yes
396,no,no,yes,no,yes,no,no,yes
397,no,no,yes,no,no,no,no,no
398,no,no,no,no,yes,no,no,no
399,no,no,no,no,no,no,no,no
400,no,no,yes,no,yes,no,no,yes
401,no,no,no,no,no,no,yes,no
402,no,no,yes,no,yes,no,yes,yes
403,no,no,yes,no,yes,no,no,yes
404,no,no,yes,no,no,no,no,no
405,no,no,no,no,no,no,no,no
406,no,no,no,no,no,no,no,no
407,no,no,yes,no,yes,no,no,yes
408,no,no,no,no,yes,no,no,yes
409,no,no,yes,no,yes,no,no,yes
410,no,no,no,no,no,no,no,no
411,no,no,no,no,yes,no,no,no
412,no,no,no,no,no,no,no,no
413,no,no,no,no,no,no,no,yes
414,no,no,no,no,yes,no,no,yes
415,no,no,no,no,yes,no,no,yes
416,no,no,no,no,no,no,no,no
417,no,no,yes,no,yes,no,no,yes
418,no,no,yes,no,yes,no,no,yes
419,no,no,yes,no,yes,no,no,yes
420,no,no,yes,no,yes,no,no,yes
421,no,no,no,no,no,no,no,no
422,no,no,no,no,no,no,no,no
423,no,no,yes,no,yes,no,no,yes
424,no,no,no,no,no,no,no,no
425,no,no,yes,no,yes,no,no,yes
426,no,no,yes,no,yes,no,no,yes
427,no,no,yes,no,yes,no,no,yes
428,no,no,no,no,no,no,no,no
429,no,no,yes,no,yes,no,no,yes
430,no,no,yes,yes,yes,yes,yes,yes
431,no,no,no,no,no,no,no,no
432,no,no,no,no,yes,no,no,yes
433,no,no,yes,yes,no,yes,yes,no
434,no,no,no,no,yes,no,no,yes
435,no,no,yes,yes,yes,yes,yes,yes
436,no,no,no,no,no,no,no,no
437,no,no,yes,no,no,no,no,yes
438,no,no,no,no,yes,no,no,yes
439,no,no,no,no,no,no,no,no
440,no,no,no,no,no,no,no,yes
441,no,no,yes,yes,yes,yes,yes,yes
442,no,no,no,no,yes,no,no,yes
443,no,no,yes,no,yes,no,no,no
444,no,no,no,no,no,no,no,yes
445,no,no,no,no,no,no,no,yes
446,no,no,no,no,no,no,no,no
447,no,no,no,no,no,no,no,no
448,no,no,yes,no,no,no,no,yes
449,no,no,no,no,no,no,yes,no
450,no,no,no,no,yes,no,no,no
451,no,no,yes,no,no,no,no,no
452,no,no,yes,no,yes,no,no,yes
453,no,no,yes,no,no,no,no,no
454,no,no,no,no,no,no,no,no
455,no,no,yes,no,no,no,no,no
456,no,no,no,no,no,no,no,no
457,no,no,yes,no,yes,no,no,yes
458,no,no,yes,yes,no,yes,yes,no
459,no,no,yes,no,no,no,no,no
460,no,no,no,no,yes,no,no,yes
461,no,no,yes,no,no,no,no,no
462,no,no,yes,no,yes,no,no,no
463,no,no,no,no,no,no,no,no
464,yes,no,no,no,no,no,no,no
465,no,no,yes,no,yes,no,no,yes
466,no,no,no,no,no,no,no,no
467,no,no,no,no,yes,no,no,yes
468,no,no,yes,no,yes,no,no,no
469,no,no,yes,no,no,no,no,no
470,no,no,yes,no,no,no,no,yes
471,no,no,no,no,no,no,no,no
472,no,no,no,no,no,no,no,no
473,no,no,yes,no,no,no,no,no
474,no,no,yes,no,yes,no,no,yes
475,no,no,no,no,no,no,no,no
476,no,no,no,no,no,no,no,no
477,no,no,no,no,no,no,no,no
478,no,no,no,no,no,no,no,no
479,no,no,yes,no,yes,no,no,no
480,no,no,no,no,no,no,no,yes
481,no,no,yes,no,no,no,no,no
482,no,no,yes,no,yes,no,no,no
483,no,no,yes,no,no,no,no,no
484,no,no,yes,no,yes,no,no,no
485,no,no,no,no,yes,no,no,yes
486,no,no,no,no,no,no,no,no
487,no,no,yes,no,yes,no,no,no
488,no,no,no,no,no,no,no,no
489,no,no,yes,no,yes,no,no,yes
490,no,yes,yes,no,yes,yes,yes,yes
491,no,no,yes,no,no,no,no,no
492,no,no,no,no,no,no,no,no
493,no,no,no,no,no,no,no,no
494,no,no,no,no,no,no,no,no
495,no,no,yes,no,no,no,yes,no
496,no,no,no,no,yes,no,no,no
497,no,no,yes,yes,yes,yes,yes,yes
498,no,no,yes,no,yes,no,no,no
499,no,no,yes,yes,no,yes,yes,yes
500,no,no,no,no,no,no,no,no
501,no,no,no,no,no,no,no,no
502,no,no,yes,no,yes,no,no,yes
503,no,no,no,no,no,no,no,no
504,no,no,no,no,no,no,no,yes
505,no,no,yes,no,no,no,no,no
506,no,no,no,no,no,no,no,no
507,no,no,yes,no,no,no,no,no
508,no,no,yes,no,no,no,no,no
509,no,no,yes,no,yes,no,no,yes
510,no,no,yes,no,yes,no,no,no
511,no,no,yes,no,no,no,no,no
512,no,no,yes,no,yes,no,no,yes
513,no,no,yes,no,no,no,no,no
514,no,no,no,no,no,no,no,yes
515,no,no,yes,no,no,no,yes,no
516,no,no,yes,no,no,no,no,no
517,no,no,yes,no,yes,no,no,yes
518,no,no,yes,no,yes,no,no,yes
519,no,no,yes,no,yes,no,no,yes
520,no,no,yes,no,no,no,no,no
521,no,no,no,no,yes,no,no,yes
522,no,no,yes,no,yes,no,no,yes
523,no,no,yes,yes,yes,yes,yes,yes
524,no,no,yes,no,no,no,no,no
525,no,no,no,no,yes,no,yes,no
526,no,no,no,no,yes,no,no,yes
527,no,no,yes,no,yes,no,no,yes
528,no,no,yes,no,no,no,no,yes
529,no,no,yes,no,no,no,no,no
530,no,no,no,no,no,no,no,yes
531,no,no,yes,no,no,no,no,no
532,no,no,yes,no,yes,no,no,yes
533,no,no,no,no,yes,no,no,no
534,no,no,no,no,yes,no,no,yes
535,no,no,yes,no,no,no,no,no
536,no,no,no,no,no,no,yes,no
537,no,yes,no,no,no,yes,yes,no
538,no,no,yes,no,yes,no,no,no
539,no,no,yes,yes,yes,yes,yes,yes
540,no,no,no,no,yes,no,no,yes
541,yes,no,no,no,no,no,no,yes
542,no,no,no,no,yes,no,no,yes
543,no,no,yes,no,yes,no,no,yes
544,no,no,yes,no,yes,no,no,no
545,no,yes,no,no,no,yes,yes,yes
546,no,no,no,no,no,no,yes,no
547,no,no,no,no,no,no,no,no
548,no,no,yes,no,yes,no,no,yes
549,no,no,no,no,no,no,no,no
550,no,no,yes,no,yes,no,no,no
551,no,no,yes,no,no,no,no,no
552,no,no,yes,yes,no,yes,yes,yes
553,no,no,yes,no,yes,no,no,no
554,no,no,yes,no,no,no,yes,yes
555,no,no,no,no,no,no,no,no
556,no,no,no,no,no,no,no,no
557,no,no,yes,no,no,no,no,no
558,no,no,yes,yes,no,yes,yes,yes
559,no,no,yes,no,yes,no,no,yes
560,no,no,no,no,no,no,no,no
561,no,no,yes,yes,yes,yes,yes,yes
562,no,no,yes,no,yes,no,no,yes
563,no,no,no,no,no,no,no,no
564,no,no,yes,no,yes,no,no,no
565,no,no,no,no,no,no,no,no
566,no,no,no,no,no,no,no,no
567,no,no,no,no,no,no,no,no
568,no,no,no,no,no,no,yes,no
569,no,no,no,no,no,no,no,no
570,no,no,yes,no,yes,no,no,yes
571,no,no,no,no,no,no,no,no
572,no,no,no,no,no,no,no,no
573,no,no,no,no,yes,no,no,yes
574,no,no,no,no,yes,no,no,no
575,no,no,yes,no,no,no,no,no
576,no,no,no,no,no,no,no,no
577,no,no,yes,no,yes,no,no,yes
578,no,no,yes,no,yes,no,no,yes
579,no,no,no,no,no,no,no,no
580,yes,no,no,no,no,no,no,no
581,no,no,yes,no,yes,no,no,yes
582,no,no,no,no,no,no,no,no
583,no,no,yes,no,no,no,no,no
584,no,no,yes,yes,yes,yes,yes,yes
585,no,no,no,no,no,no,no,no
586,no,no,no,no,no,no,no,no
587,no,no,no,no,no,no,no,no
588,no,no,yes,no,no,no,no,no
589,no,no,yes,no,no,no,no,no
590,no,no,no,no,no,no,no,no
591,no,no,no,no,yes,no,no,yes
592,no,no,no,no,no,no,no,no
593,no,no,yes,no,yes,no,no,no
594,no,no,yes,no,yes,no,no,yes
595,no,no,no,no,no,no,no,no
596,no,no,yes,no,yes,no,no,no
597,no,no,yes,no,yes,no,no,yes
598,no,no,yes,no,no,no,no,no
599,no,no,no,no,no,no,no,no
600,no,no,no,no,no,no,no,no
601,no,no,yes,yes,yes,yes,yes,no
602,no,no,yes,no,no,no,no,no
603,no,no,no,no,no,no,no,no
604,no,no,no,no,yes,no,no,yes
605,no,no,no,no,no,no,no,no
606,no,no,yes,yes,yes,yes,yes,no
607,no,no,no,no,no,no,no,no
608,no,no,no,no,no,no,no,no
609,no,no,no,no,no,no,yes,no
610,no,no,yes,no,yes,no,no,yes
611,no,no,no,no,yes,no,no,yes
612,no,no,no,no,no,no,no,no
613,no,no,no,no,yes,no,no,yes
614,no,no,yes,no,yes,no,no,yes
615,no,no,yes,no,yes,no,no,yes
616,no,no,no,no,yes,no,no,yes
617,no,no,no,no,no,no,no,no
618,no,no,yes,no,yes,no,no,yes
619,no,no,yes,yes,no,yes,yes,yes
620,no,no,yes,no,no,no,no,no
621,no,no,yes,no,no,no,no,yes
622,no,no,no,no,yes,no,no,yes
623,no,no,yes,no,no,no,no,no
624,no,no,no,no,no,no,no,no
625,no,no,yes,yes,yes,yes,yes,yes
626,no,no,yes,no,no,no,no,no
627,no,no,yes,yes,yes,yes,yes,yes
628,no,no,yes,no,no,no,no,no
629,no,no,yes,no,no,no,no,no
630,no,no,no,no,yes,no,no,yes
631,no,no,no,no,no,no,no,no
632,no,no,yes,no,yes,no,no,yes
633,no,no,yes,no,yes,no,no,no
634,no,no,yes,no,yes,no,no,yes
635,no,no,no,no,no,no,no,no
636,no,no,no,no,yes,no,no,yes
637,no,no,yes,no,yes,no,no,yes
638,no,no,yes,no,yes,no,no,no
639,no,no,no,no,no,no,no,no
640,no,no,yes,no,yes,no,no,yes
641,no,no,yes,no,yes,no,no,yes
642,no,no,yes,no,yes,no,no,yes
643,no,no,no,no,no,no,no,no
644,no,no,yes,no,no,no,no,yes
645,no,no,no,no,yes,no,no,yes
646,no,no,no,no,no,no,no,no
647,no,no,no,no,yes,no,yes,yes
648,no,no,yes,no,no,no,no,yes
649,no,no,yes,no,yes,no,no,yes
650,no,no,no,no,no,no,no,no
651,no,no,no,no,yes,no,no,yes
652,no,yes,no,no,yes,yes,yes,yes
653,no,no,no,no,no,no,no,no
654,no,no,yes,no,yes,no,no,yes
655,no,no,yes,no,yes,no,no,yes
656,no,no,no,no,no,no,no,no
657,no,no,no,no,no,no,no,no
658,no,no,no,no,no,no,no,no
659,no,no,yes,no,yes,no,no,yes
660,no,no,no,no,no,no,no,yes
661,no,no,no,no,yes,no,no,yes
662,no,no,yes,no,no,no,no,no
663,no,no,yes,no,yes,no,no,yes
664,no,no,no,no,no,no,no,no
665,no,no,yes,yes,no,yes,yes,no
666,no,no,yes,no,no,no,no,no
667,no,no,no,no,yes,no,no,yes
668,no,no,yes,no,yes,no,no,yes
669,no,no,yes,no,no,no,no,no
670,no,no,yes,no,no,no,no,no
671,no,no,no,no,yes,no,no,no
672,no,no,no,no,no,no,no,no
673,no,no,no,no,no,no,no,no
674,no,no,no,no,no,no,no,no
675,no,no,no,no,yes,no,no,yes
676,no,no,yes,no,yes,no,no,yes
677,no,no,no,no,no,no,no,no
678,no,no,no,no,no,no,no,no
679,no,no,no,no,no,no,no,no
680,no,no,no,yes,yes,yes,yes,yes
681,no,no,no,no,no,no,no,no
682,no,no,yes,no,no,no,no,no
683,no,no,yes,no,yes,no,no,yes
684,no,no,no,no,yes,no,no,yes
685,no,no,yes,no,yes,no,no,yes
686,no,no,no,no,yes,no,no,yes
687,no,no,no,no,no,no,no,no
688,no,no,yes,no,yes,no,no,yes
689,no,no,yes,no,no,no,no,no
690,no,no,no,no,no,no,no,no
691,no,no,no,no,no,no,yes,no
692,no,no,yes,no,yes,no,no,no
693,no,no,no,no,no,no,no,no
694,no,no,no,no,yes,no,no,yes
695,no,no,no,no,no,no,no,no
696,no,no,no,no,no,no,no,no
697,no,no,no,no,no,no,no,no
698,no,no,no,no,no,no,no,no
699,no,no,no,no,no,no,no,yes
700,no,no,no,no,no,no,no,no
701,no,no,no,no,no,no,no,no
702,no,no,no,no,yes,no,yes,yes
703,no,no,yes,yes,yes,yes,yes,yes
704,no,no,yes,no,yes,no,no,yes
705,no,no,no,no,no,no,no,no
706,no,no,yes,no,no,no,no,no
707,no,no,yes,no,no,no,no,no
