,N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
11,Down,Neutral,StrongUp,Neutral,Neutral,VeryWet,Wet,Wet,Wet,PC,PC,PC,PC,None,Weak,StrongWest,Weak,None,Weak,Some,DecCapIncIns,Decreasing,Negative,Decreasing,SIG,Aug20_Sep15,H,CThruK,None,LessThanAve,LessThanAve,H,N5GtLIGt_8,Stability,MoreUnstable,LessUnstable,HI,TotalInhibit,Weak,None,H,XNIL,XNIL,SIG,LowMtsHighPl,Stable,Average,Steep,MarkedUpper,Other,E_W_S,SigNegative,Other,SWQuad,LVorOther,E_NE
12,Down,StronUp,WeakUp,StrongUp,StrongUp,VeryWet,Neutral,Neutral,Neutral,Clear,Clear,Clear,PC,Weak,Strong,Westerly,Strong,None,Weak,None,LittleChange,LittleChange,Negative,LittleChange,SIG,Jul2_Jul15,B,AB,Stifling,Average,Average,ABI,N5GtLIGt_8,Stability,Average,LessUnstable,B,Stifling,Moderate,None,B,SIG,SIG,SIG,LowMtsHighPl,ModerateOrLe,Average,ModerateOrLe,NoMajor,Other,DenvCyclone,SigNegative,None,AllElse,LVorOther,SEQuad
13,StrongUp,Down,WeakUp,WeakUp,WeakUp,VeryWet,VeryWet,VeryWet,VeryWet,Clear,Cloudy,PC,PC,None,None,StrongWest,None,None,None,None,DecCapIncIns,Decreasing,Negative,Decreasing,XNIL,Jul16_Aug10,K,CThruK,TotalInhibit,MoreThanAve,Average,K,N5GtLIGt_8,Instability,MoreUnstable,Average,ACEFK,Stifling,Moderate,None,K,XNIL,XNIL,XNIL,Other,CloseToDryAd,Average,ModerateOrLe,StrongFront,DryMMoistL,E_W_S,PosToNeg,Moving,NWQuad,Westerly,WidespdDnsl
14,Neutral,Neutral,StrongUp,StrongUp,StrongUp,Wet,Wet,Neutral,VeryWet,Clear,PC,Clear,PC,Weak,Weak,DCVZFavor,None,Strong,Weak,Some,DecCapIncIns,Decreasing,WeakPos,Increasing,SIG,Aug11_Aug20,C,CThruK,PartInhibit,Average,LessThanAve,CDEJ,N1GtLIGt_4,Neutral,LessUnstable,Average,ACEFK,None,Moderate,Moderate,C,XNIL,XNIL,SIG,LowAtStation,CloseToDryAd,Average,Steep,NoMajor,DryMMoistL,MovingFtorOt,SigPositive,None,SWQuad,LVorOther,WidespdDnsl
15,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,PC,Clear,Clear,Clear,None,Strong,Westerly,Strong,None,Strong,Marked,IncCapDecIns,Increasing,WeakPos,Increasing,SVR,Aug20_Sep15,G,CThruK,PartInhibit,Average,Average,G,N5GtLIGt_8,Stability,MoreUnstable,MoreUnstable,GJ,Stifling,Unfavorable,None,G,SIG,SIG,SVR,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,NoMajor,MoistMDryL,DryLine,PosToNeg,None,LV,Westerly,LongAnticyc
16,Down,WeakUp,Neutral,Neutral,Neutral,Dry,Neutral,VeryWet,Wet,Clear,Clear,Clear,Clear,None,Weak,DCVZFavor,None,None,None,None,IncCapDecIns,Increasing,Negative,Decreasing,SIG,Aug20_Sep15,C,CThruK,None,Average,MoreThanAve,CDEJ,N5GtLIGt_8,Stability,MoreUnstable,Average,ACEFK,None,Moderate,Strong,C,SIG,SIG,SIG,LowEvrywhere,CloseToDryAd,Average,ModerateOrLe,NoMajor,MoistMDryL,E_W_N,SigPositive,None,NWQuad,Westerly,LongAnticyc
17,Neutral,Neutral,Down,Down,Down,Dry,Wet,Dry,Dry,Clear,Clear,Clear,Clear,Strong,Strong,StrongWest,Strong,Weak,Weak,Marked,IncCapDecIns,Increasing,Neutral,Decreasing,SIG,Aug20_Sep15,D,CThruK,PartInhibit,Average,Average,CDEJ,N5GtLIGt_8,Stability,Average,LessUnstable,D,PartInhibit,Strong,Slight,D,XNIL,XNIL,SIG,LowMtsHighPl,Stable,Average,CloseToDryAd,OtherRapid,DryMMoistL,DryLine,PosToNeg,Other,SWQuad,Westerly,LV
18,Neutral,Neutral,StrongUp,WeakUp,WeakUp,Neutral,Dry,Dry,Dry,Clear,Clear,Clear,Clear,Weak,Strong,DCVZFavor,Strong,Strong,Weak,Some,LittleChange,LittleChange,Negative,LittleChange,SVR,Jul16_Aug10,B,AB,PartInhibit,LessThanAve,LessThanAve,ABI,LIGt0,Neutral,LessUnstable,LessUnstable,B,PartInhibit,Moderate,None,B,XNIL,XNIL,SVR,LowMtsHighPl,ModerateOrLe,Average,ModerateOrLe,NoMajor,Other,DenvCyclone,LittleChange,Moving,AllElse,LVorOther,DenvCyclone
19,Neutral,StronUp,Neutral,WeakUp,WeakUp,Wet,Wet,Wet,Neutral,Clear,PC,Clear,PC,Weak,Weak,Other,None,Weak,Strong,None,IncCapDecIns,Increasing,WeakPos,Increasing,XNIL,Aug20_Sep15,I,CThruK,PartInhibit,Average,Average,ABI,N1GtLIGt_4,Stability,LessUnstable,Average,HI,None,Moderate,Strong,I,SVR,SVR,SVR,LowSHighN,Steep,VeryMoist,CloseToDryAd,StrongFront,DryMMoistL,E_W_S,NegToPos,QStationary,NWQuad,Westerly,E_NE
20,WeakUp,WeakUp,WeakUp,WeakUp,WeakUp,Wet,Neutral,Neutral,Wet,Cloudy,Cloudy,Cloudy,Cloudy,Weak,Weak,Westerly,Weak,None,None,Some,IncCapDecIns,Increasing,Negative,LittleChange,XNIL,Jul2_Jul15,B,AB,PartInhibit,Average,MoreThanAve,ABI,N1GtLIGt_4,Neutral,LessUnstable,LessUnstable,B,PartInhibit,Moderate,None,B,XNIL,XNIL,XNIL,LowMtsHighPl,ModerateOrLe,Dry,Steep,OtherRapid,DryMMoistL,MovingFtorOt,LittleChange,Other,LV,LVorOther,SEQuad
21,Neutral,Neutral,StrongUp,WeakUp,WeakUp,Neutral,Dry,Dry,Neutral,Clear,Cloudy,PC,PC,Strong,Strong,Westerly,Strong,Weak,Weak,Some,IncCapDecIns,Increasing,WeakPos,LittleChange,XNIL,Jul2_Jul15,J,CThruK,PartInhibit,MoreThanAve,MoreThanAve,CDEJ,N1GtLIGt_4,Neutral,MoreUnstable,MoreUnstable,GJ,None,Weak,Moderate,J,XNIL,XNIL,XNIL,LowAtStation,Stable,Dry,CloseToDryAd,NoMajor,DryMMoistL,DryLine,LittleChange,Other,LV,LVorOther,LV
22,Down,Down,WeakUp,Down,Down,Neutral,Dry,Neutral,Neutral,Clear,PC,Clear,PC,Weak,Weak,StrongWest,Weak,None,Weak,Some,LittleChange,LittleChange,Neutral,Decreasing,XNIL,Jul2_Jul15,B,AB,PartInhibit,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,B,None,Unfavorable,None,B,SVR,SVR,SVR,LowNHighS,Steep,Average,Steep,NoMajor,DryMMoistL,E_W_S,SigPositive,Other,LV,Westerly,DenvCyclone
23,WeakUp,WeakUp,Neutral,WeakUp,WeakUp,VeryWet,Neutral,Wet,VeryWet,PC,PC,PC,PC,Weak,Weak,Other,None,Weak,Weak,Some,LittleChange,LittleChange,WeakPos,Increasing,XNIL,Jul2_Jul15,K,CThruK,PartInhibit,Average,Average,K,N5GtLIGt_8,Stability,Average,MoreUnstable,ACEFK,PartInhibit,Weak,None,K,XNIL,XNIL,XNIL,HighEvrywher,Stable,Average,Steep,MarkedUpper,MoistMDryL,MovingFtorOt,PosToNeg,Other,AllElse,Westerly,SEQuad
24,Down,Down,Neutral,Down,Down,Wet,Dry,Wet,Neutral,PC,Clear,Clear,Clear,None,None,Other,None,None,None,None,IncCapDecIns,Increasing,Negative,Decreasing,XNIL,Jun15_Jul1,A,AB,PartInhibit,LessThanAve,MoreThanAve,ABI,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,ACEFK,Stifling,Weak,None,A,XNIL,XNIL,XNIL,LowAtStation,Steep,Average,Steep,MarkedUpper,Other,DenvCyclone,SigNegative,None,SWQuad,Westerly,SEQuad
25,Down,Neutral,Down,Neutral,Neutral,Neutral,Neutral,Neutral,Wet,PC,PC,PC,PC,Weak,Weak,StrongWest,Strong,None,Weak,Some,IncCapDecIns,Increasing,Neutral,LittleChange,SIG,Jun15_Jul1,J,CThruK,None,LessThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,Neutral,LessUnstable,LessUnstable,GJ,TotalInhibit,Strong,Slight,J,XNIL,XNIL,SIG,LowAtStation,Steep,Dry,ModerateOrLe,NoMajor,Other,DenvCyclone,LittleChange,None,LV,LVorOther,LV
26,Down,WeakUp,Neutral,Down,Down,Neutral,Dry,Dry,Dry,Clear,Cloudy,PC,PC,None,None,StrongWest,None,None,Weak,None,IncCapDecIns,Increasing,StrongPos,Increasing,XNIL,Jun15_Jul1,C,CThruK,Stifling,MoreThanAve,MoreThanAve,CDEJ,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,ACEFK,Stifling,Weak,None,C,SVR,SIG,SIG,LowEvrywhere,Steep,Dry,ModerateOrLe,OtherRapid,DryMMoistL,E_W_N,LittleChange,None,AllElse,LVorOther,LV
27,StrongUp,Down,Neutral,Down,Down,Wet,Dry,VeryWet,VeryWet,Clear,Cloudy,PC,Clear,Weak,Weak,StrongWest,Weak,Weak,Weak,None,LittleChange,LittleChange,Negative,Decreasing,XNIL,Jul2_Jul15,D,CThruK,TotalInhibit,MoreThanAve,MoreThanAve,CDEJ,N1GtLIGt_4,Neutral,Average,LessUnstable,D,PartInhibit,Strong,Moderate,D,XNIL,XNIL,XNIL,LowAtStation,Steep,Average,CloseToDryAd,MarkedUpper,DryMMoistL,None,PosToNeg,Moving,AllElse,Westerly,WidespdDnsl
28,Neutral,Neutral,WeakUp,WeakUp,WeakUp,Dry,Dry,Wet,Wet,Cloudy,PC,Cloudy,Cloudy,None,Weak,Westerly,Weak,Weak,Strong,None,IncCapDecIns,Increasing,Neutral,Increasing,SIG,Aug20_Sep15,A,AB,PartInhibit,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Instability,LessUnstable,LessUnstable,ACEFK,PartInhibit,Strong,Strong,A,SIG,SIG,SIG,LowMtsHighPl,Steep,Average,Steep,OtherRapid,DryMMoistL,MovingFtorOt,NegToPos,Other,SWQuad,LVorOther,DenvCyclone
29,Down,Neutral,Neutral,Neutral,Neutral,Neutral,VeryWet,Wet,VeryWet,Clear,Clear,Clear,PC,None,None,Other,None,None,None,None,IncCapDecIns,Increasing,Neutral,Decreasing,XNIL,May15_Jun14,I,CThruK,PartInhibit,Average,MoreThanAve,ABI,LILt_8,Stability,MoreUnstable,MoreUnstable,HI,None,Strong,Strong,I,XNIL,XNIL,XNIL,LowSHighN,Steep,Average,ModerateOrLe,MarkedUpper,DryMMoistL,E_W_S,SigNegative,QStationary,NWQuad,Westerly,E_NE
30,Neutral,Neutral,WeakUp,WeakUp,WeakUp,Dry,Neutral,Neutral,Wet,Clear,Clear,Clear,Clear,None,Strong,StrongWest,Strong,None,Strong,Some,DecCapIncIns,Decreasing,Neutral,LittleChange,XNIL,Jul2_Jul15,G,CThruK,PartInhibit,Average,Average,G,N1GtLIGt_4,Instability,Average,Average,GJ,None,Weak,None,G,SIG,SIG,SIG,LowAtStation,CloseToDryAd,Dry,Steep,NoMajor,MoistMDryL,None,LittleChange,Other,AllElse,Westerly,LongAnticyc
31,Down,StronUp,Neutral,Neutral,Neutral,Neutral,Wet,Neutral,Wet,PC,Cloudy,Cloudy,Cloudy,None,None,Westerly,None,Weak,Strong,None,LittleChange,LittleChange,StrongPos,Increasing,XNIL,Aug20_Sep15,K,CThruK,PartInhibit,LessThanAve,LessThanAve,K,N5GtLIGt_8,Stability,MoreUnstable,MoreUnstable,ACEFK,PartInhibit,Moderate,None,K,XNIL,XNIL,XNIL,LowAtStation,ModerateOrLe,Average,ModerateOrLe,MarkedUpper,Other,DryLine,NegToPos,Moving,SWQuad,Westerly,WidespdDnsl
32,Down,StronUp,WeakUp,Neutral,Neutral,Neutral,Neutral,Dry,Dry,PC,Cloudy,PC,PC,None,Weak,Other,None,None,Weak,None,DecCapIncIns,Decreasing,WeakPos,Decreasing,SIG,Jun15_Jul1,G,CThruK,Stifling,MoreThanAve,LessThanAve,G,N1GtLIGt_4,Instability,Average,LessUnstable,GJ,PartInhibit,Unfavorable,None,G,XNIL,XNIL,SIG,LowEvrywhere,CloseToDryAd,Average,CloseToDryAd,NoMajor,Other,DryLine,NegToPos,None,NWQuad,Westerly,LV
33,StrongUp,Down,Neutral,Neutral,Neutral,Neutral,Wet,Neutral,Neutral,PC,PC,PC,PC,None,Strong,Westerly,Strong,None,Weak,Some,LittleChange,LittleChange,Negative,Decreasing,SIG,Jul16_Aug10,E,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,N1GtLIGt_4,Instability,MoreUnstable,Average,ACEFK,Stifling,Weak,None,E,SIG,SIG,SIG,LowAtStation,Steep,VeryMoist,ModerateOrLe,OtherRapid,MoistMDryL,DenvCyclone,NegToPos,Other,SWQuad,Westerly,WidespdDnsl
34,StrongUp,Down,Neutral,Neutral,Neutral,Neutral,VeryWet,Wet,VeryWet,Clear,Clear,Clear,PC,Strong,Strong,DCVZFavor,Strong,None,Weak,Marked,LittleChange,LittleChange,Negative,LittleChange,XNIL,Aug20_Sep15,D,CThruK,None,LessThanAve,LessThanAve,CDEJ,LIGt0,Neutral,LessUnstable,LessUnstable,D,Stifling,Moderate,None,D,XNIL,XNIL,XNIL,LowMtsHighPl,Steep,Average,CloseToDryAd,MarkedUpper,Other,DryLine,SigNegative,None,NWQuad,Westerly,WidespdDnsl
35,Down,StronUp,Neutral,Neutral,Neutral,Dry,VeryWet,Dry,Dry,PC,Clear,PC,PC,None,Weak,Westerly,None,None,None,None,IncCapDecIns,Increasing,WeakPos,Increasing,SIG,May15_Jun14,H,CThruK,PartInhibit,Average,Average,H,N1GtLIGt_4,Neutral,Average,MoreUnstable,HI,TotalInhibit,Weak,None,H,XNIL,XNIL,SIG,LowMtsHighPl,ModerateOrLe,VeryMoist,ModerateOrLe,MarkedUpper,Other,MovingFtorOt,NegToPos,Moving,LV,Westerly,E_NE
36,Down,WeakUp,Neutral,WeakUp,WeakUp,Neutral,VeryWet,Wet,Wet,PC,Clear,Clear,PC,Strong,Strong,Westerly,Weak,Weak,Weak,None,LittleChange,LittleChange,StrongPos,Increasing,SIG,May15_Jun14,E,CThruK,PartInhibit,Average,Average,CDEJ,N1GtLIGt_4,Stability,LessUnstable,Average,ACEFK,None,Moderate,Moderate,E,XNIL,XNIL,SIG,LowAtStation,CloseToDryAd,Average,ModerateOrLe,NoMajor,MoistMDryL,DryLine,LittleChange,None,SWQuad,LVorOther,LV
37,Down,WeakUp,Neutral,Neutral,Neutral,VeryWet,Wet,VeryWet,VeryWet,Cloudy,Clear,Cloudy,PC,Strong,Strong,Other,Strong,Strong,Strong,None,DecCapIncIns,Decreasing,Neutral,Decreasing,SIG,Jul16_Aug10,A,AB,PartInhibit,Average,LessThanAve,ABI,LILt_8,Neutral,MoreUnstable,MoreUnstable,ACEFK,None,Strong,Moderate,A,XNIL,XNIL,SIG,HighEvrywher,Steep,VeryMoist,Steep,MarkedUpper,Other,DenvCyclone,PosToNeg,Other,SWQuad,Westerly,DenvCyclone
38,WeakUp,Down,WeakUp,Neutral,Neutral,VeryWet,VeryWet,VeryWet,Wet,PC,Clear,PC,PC,Strong,Strong,Westerly,Strong,None,Weak,Marked,IncCapDecIns,Increasing,Neutral,Increasing,SIG,Aug20_Sep15,K,CThruK,PartInhibit,Average,MoreThanAve,K,N5GtLIGt_8,Stability,MoreUnstable,MoreUnstable,ACEFK,Stifling,Moderate,Moderate,K,SVR,SVR,SVR,LowSHighN,Stable,Average,Steep,MarkedUpper,DryMMoistL,E_W_N,SigNegative,Other,AllElse,Westerly,WidespdDnsl
39,WeakUp,WeakUp,Down,Down,Down,VeryWet,Neutral,Wet,Wet,PC,PC,Cloudy,PC,Weak,Weak,DCVZFavor,Weak,Weak,None,None,DecCapIncIns,Decreasing,Neutral,LittleChange,XNIL,May15_Jun14,I,CThruK,PartInhibit,MoreThanAve,Average,ABI,N5GtLIGt_8,Neutral,MoreUnstable,MoreUnstable,HI,None,Moderate,Strong,I,SVR,SVR,SVR,LowSHighN,CloseToDryAd,VeryMoist,CloseToDryAd,NoMajor,Other,E_W_S,SigPositive,QStationary,AllElse,LVorOther,DenvCyclone
40,Neutral,WeakUp,Down,WeakUp,WeakUp,Neutral,Dry,Neutral,Wet,PC,Clear,Clear,Clear,Strong,Strong,Westerly,Strong,Weak,Strong,Marked,LittleChange,LittleChange,Neutral,LittleChange,SIG,Jun15_Jul1,B,AB,PartInhibit,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,B,PartInhibit,Weak,Slight,B,SVR,SVR,SVR,LowMtsHighPl,ModerateOrLe,Dry,CloseToDryAd,NoMajor,Other,DenvCyclone,LittleChange,QStationary,AllElse,LVorOther,LV
41,WeakUp,Neutral,Neutral,WeakUp,WeakUp,Dry,Dry,Wet,Wet,Clear,PC,Clear,Clear,None,None,Westerly,None,None,None,None,LittleChange,LittleChange,Neutral,LittleChange,XNIL,Jul2_Jul15,G,CThruK,PartInhibit,MoreThanAve,MoreThanAve,G,N5GtLIGt_8,Neutral,MoreUnstable,MoreUnstable,GJ,Stifling,Moderate,Slight,G,XNIL,XNIL,XNIL,LowEvrywhere,CloseToDryAd,Dry,Steep,NoMajor,MoistMDryL,DenvCyclone,NegToPos,Other,LV,Westerly,LV
42,WeakUp,StronUp,Neutral,WeakUp,WeakUp,Neutral,Wet,VeryWet,VeryWet,Clear,PC,Clear,Clear,Strong,Strong,Other,None,None,None,None,DecCapIncIns,Decreasing,Negative,Decreasing,SIG,Jul16_Aug10,F,CThruK,PartInhibit,LessThanAve,LessThanAve,F,N1GtLIGt_4,Neutral,Average,Average,ACEFK,PartInhibit,Strong,Strong,F,XNIL,XNIL,SIG,HighEvrywher,ModerateOrLe,VeryMoist,ModerateOrLe,NoMajor,Other,None,SigNegative,None,AllElse,LVorOther,SEQuad
43,WeakUp,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Clear,Clear,Clear,Clear,Strong,Strong,Westerly,Strong,Weak,Weak,Marked,LittleChange,LittleChange,Negative,Decreasing,SVR,Aug20_Sep15,D,CThruK,Stifling,Average,Average,CDEJ,N5GtLIGt_8,Instability,MoreUnstable,Average,D,PartInhibit,Strong,Moderate,D,XNIL,XNIL,SVR,LowAtStation,Steep,VeryMoist,Steep,MarkedUpper,Other,None,NegToPos,None,SWQuad,LVorOther,DenvCyclone
44,Down,Down,Neutral,Down,Down,Neutral,Neutral,Wet,Wet,Cloudy,Clear,Cloudy,PC,None,Weak,StrongWest,Weak,Weak,Weak,Some,IncCapDecIns,Increasing,Negative,LittleChange,SIG,Aug20_Sep15,A,AB,None,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Instability,Average,LessUnstable,ACEFK,Stifling,Weak,Slight,A,XNIL,XNIL,SIG,LowMtsHighPl,Steep,Average,Steep,MarkedUpper,DryMMoistL,None,SigNegative,None,SWQuad,Westerly,DenvCyclone
45,StrongUp,Neutral,Neutral,WeakUp,WeakUp,Wet,Neutral,Neutral,Wet,Clear,Clear,Clear,Clear,Strong,Strong,Westerly,Strong,Weak,Weak,Some,DecCapIncIns,Decreasing,StrongPos,Increasing,SVR,Jun15_Jul1,B,AB,PartInhibit,LessThanAve,LessThanAve,ABI,N5GtLIGt_8,Stability,Average,Average,B,Stifling,Weak,Slight,B,XNIL,XNIL,SVR,LowMtsHighPl,CloseToDryAd,VeryMoist,CloseToDryAd,NoMajor,DryMMoistL,DenvCyclone,PosToNeg,Other,SWQuad,Westerly,DenvCyclone
