,BirthAsphyxia,HypDistrib,HypoxiaInO2,CO2,ChestXray,Grunting,LVHreport,LowerBodyO2,RUQO2,CO2Report,XrayReport,Disease,GruntingReport,Age,LVH,DuctFlow,CardiacMixing,LungParench,LungFlow,Sick
68,no,Equal,Severe,Normal,Oligaemic,no,yes,5-12,<5,<7.5,Normal,PAIVS,no,4-10_days,yes,Lt_to_Rt,Complete,Normal,Low,yes
69,no,Equal,Severe,High,Asy/Patch,yes,no,5-12,12+,>=7.5,Asy/Patchy,PAIVS,yes,0-3_days,yes,Lt_to_Rt,Complete,Abnormal,Normal,no
70,no,Equal,Severe,Normal,Plethoric,yes,no,5-12,5-12,>=7.5,Asy/Patchy,TGA,no,4-10_days,no,None,Transp.,Normal,High,no
71,no,Equal,Moderate,Normal,Normal,no,no,5-12,<5,<7.5,Normal,TGA,no,4-10_days,no,None,Transp.,Normal,High,yes
72,no,Equal,Moderate,Normal,Oligaemic,no,no,5-12,5-12,<7.5,Oligaemic,Fallot,no,11-30_days,no,Lt_to_Rt,Mild,Normal,Low,no
73,no,Equal,Severe,Normal,Normal,no,no,5-12,5-12,<7.5,Oligaemic,TGA,no,0-3_days,no,None,Transp.,Normal,Normal,no
74,no,Equal,Severe,High,Asy/Patch,no,no,<5,5-12,>=7.5,Grd_Glass,TGA,no,0-3_days,no,None,Transp.,Abnormal,Normal,no
75,no,Equal,Moderate,Normal,Grd_Glass,no,no,5-12,5-12,<7.5,Plethoric,Lung,no,0-3_days,no,Rt_to_Lt,Mild,Congested,Normal,yes
76,no,Equal,Mild,High,Normal,yes,yes,<5,5-12,>=7.5,Normal,Lung,yes,0-3_days,no,None,None,Abnormal,Normal,no
77,no,Equal,Moderate,Normal,Normal,no,no,<5,5-12,<7.5,Normal,Fallot,no,11-30_days,no,Lt_to_Rt,Complete,Normal,Low,no
78,no,Equal,Severe,Normal,Grd_Glass,yes,no,5-12,<5,<7.5,Grd_Glass,TGA,no,0-3_days,no,Lt_to_Rt,Transp.,Abnormal,High,no
79,no,Equal,Moderate,Normal,Oligaemic,no,yes,5-12,<5,<7.5,Oligaemic,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,yes
80,no,Equal,Severe,Low,Grd_Glass,yes,yes,5-12,12+,<7.5,Grd_Glass,TGA,yes,0-3_days,no,None,Transp.,Abnormal,High,yes
81,no,Equal,Moderate,Normal,Normal,no,yes,<5,5-12,>=7.5,Normal,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,yes
82,no,Equal,Severe,Normal,Plethoric,no,no,<5,<5,<7.5,Plethoric,TGA,no,0-3_days,no,None,Transp.,Normal,High,yes
83,no,Equal,Moderate,Normal,Oligaemic,no,yes,<5,<5,<7.5,Plethoric,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
84,no,Equal,Moderate,Normal,Oligaemic,no,yes,5-12,5-12,<7.5,Oligaemic,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
85,no,Equal,Severe,Normal,Oligaemic,no,no,<5,12+,<7.5,Oligaemic,Fallot,no,11-30_days,no,None,Transp.,Normal,Low,no
86,no,Equal,Severe,Normal,Grd_Glass,no,no,5-12,5-12,<7.5,Grd_Glass,Fallot,no,4-10_days,no,Lt_to_Rt,Complete,Congested,Low,no
87,no,Equal,Severe,Normal,Asy/Patch,yes,no,5-12,<5,>=7.5,Asy/Patchy,PAIVS,yes,0-3_days,yes,Lt_to_Rt,Complete,Abnormal,Low,no
88,no,Equal,Moderate,Normal,Oligaemic,no,no,5-12,5-12,<7.5,Oligaemic,Fallot,no,0-3_days,no,Lt_to_Rt,Complete,Normal,Low,yes
89,no,Unequal,Moderate,Normal,Oligaemic,no,no,<5,<5,<7.5,Oligaemic,Fallot,no,4-10_days,no,Lt_to_Rt,Mild,Normal,Low,no
90,no,Equal,Moderate,Normal,Oligaemic,no,yes,5-12,12+,<7.5,Oligaemic,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
91,no,Equal,Severe,Low,Asy/Patch,yes,yes,<5,5-12,<7.5,Normal,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Abnormal,Low,yes
92,no,Equal,Severe,Normal,Normal,no,yes,5-12,12+,<7.5,Normal,Fallot,no,0-3_days,no,None,Complete,Normal,Normal,yes
93,no,Equal,Mild,Normal,Normal,no,no,12+,12+,<7.5,Oligaemic,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,yes
94,no,Equal,Moderate,Normal,Plethoric,no,no,<5,5-12,<7.5,Oligaemic,TGA,no,0-3_days,no,None,Transp.,Normal,High,no
95,yes,Equal,Mild,Normal,Asy/Patch,no,no,5-12,5-12,<7.5,Asy/Patchy,TAPVD,no,0-3_days,no,Rt_to_Lt,Complete,Abnormal,Normal,yes
96,no,Equal,Moderate,Normal,Oligaemic,yes,yes,5-12,5-12,<7.5,Oligaemic,PAIVS,yes,11-30_days,yes,Lt_to_Rt,Complete,Abnormal,Low,no
97,yes,Equal,Moderate,Normal,Grd_Glass,yes,no,<5,5-12,<7.5,Plethoric,TAPVD,yes,4-10_days,no,Rt_to_Lt,Complete,Congested,Normal,no
98,no,Equal,Severe,High,Oligaemic,no,no,5-12,12+,>=7.5,Oligaemic,Fallot,yes,0-3_days,no,Lt_to_Rt,Complete,Congested,Low,yes
99,no,Equal,Moderate,Normal,Plethoric,no,no,<5,5-12,>=7.5,Plethoric,TGA,no,0-3_days,no,None,Mild,Normal,High,no
100,no,Equal,Severe,Normal,Asy/Patch,no,no,<5,5-12,<7.5,Asy/Patchy,Fallot,no,11-30_days,no,Lt_to_Rt,Mild,Abnormal,Low,no
101,no,Equal,Severe,Normal,Asy/Patch,no,no,<5,5-12,<7.5,Asy/Patchy,Lung,no,0-3_days,no,None,Mild,Abnormal,Normal,no
102,no,Equal,Moderate,High,Asy/Patch,yes,yes,5-12,<5,>=7.5,Asy/Patchy,PAIVS,yes,0-3_days,yes,Lt_to_Rt,Complete,Abnormal,Low,yes
103,no,Equal,Moderate,High,Grd_Glass,no,no,5-12,<5,>=7.5,Grd_Glass,Lung,no,0-3_days,yes,None,Mild,Congested,Normal,no
104,no,Equal,Severe,Normal,Plethoric,no,no,5-12,5-12,<7.5,Plethoric,TGA,no,0-3_days,no,None,Transp.,Normal,High,no
105,no,Equal,Severe,Normal,Oligaemic,no,no,12+,5-12,<7.5,Oligaemic,TGA,no,0-3_days,no,None,Transp.,Normal,Low,no
106,no,Equal,Severe,Normal,Oligaemic,no,yes,5-12,<5,<7.5,Oligaemic,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
107,no,Equal,Severe,Normal,Plethoric,no,no,5-12,<5,<7.5,Oligaemic,TGA,no,4-10_days,no,Rt_to_Lt,Transp.,Normal,High,no
108,no,Unequal,Mild,Normal,Normal,yes,no,<5,12+,<7.5,Normal,Lung,yes,11-30_days,no,Rt_to_Lt,None,Abnormal,Normal,yes
109,no,Equal,Mild,Normal,Oligaemic,no,yes,12+,12+,<7.5,Oligaemic,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
110,no,Equal,Moderate,Normal,Asy/Patch,no,no,5-12,5-12,<7.5,Asy/Patchy,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Abnormal,Normal,no
111,no,Equal,Moderate,High,Normal,no,no,5-12,5-12,>=7.5,Normal,Fallot,no,11-30_days,no,Lt_to_Rt,Complete,Normal,Low,no
112,no,Unequal,Mild,Normal,Normal,no,no,<5,12+,<7.5,Normal,PFC,yes,0-3_days,no,Rt_to_Lt,None,Normal,Normal,yes
113,no,Equal,Severe,Normal,Plethoric,no,no,<5,<5,>=7.5,Plethoric,TGA,no,0-3_days,no,None,Transp.,Normal,High,no
114,no,Equal,Moderate,Normal,Oligaemic,no,no,5-12,12+,>=7.5,Oligaemic,Fallot,yes,11-30_days,no,Lt_to_Rt,Complete,Normal,Low,no
115,no,Equal,Moderate,Normal,Oligaemic,no,no,12+,5-12,<7.5,Oligaemic,Fallot,yes,0-3_days,no,Lt_to_Rt,Complete,Normal,Low,yes
116,no,Equal,Moderate,Normal,Normal,no,yes,<5,5-12,<7.5,Normal,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Normal,no
117,no,Equal,Moderate,Normal,Oligaemic,no,yes,5-12,5-12,<7.5,Oligaemic,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
118,no,Equal,Moderate,High,Normal,yes,no,<5,5-12,>=7.5,Normal,TGA,yes,0-3_days,no,None,Transp.,Abnormal,High,yes
119,no,Equal,Moderate,Normal,Oligaemic,no,yes,5-12,5-12,<7.5,Oligaemic,Fallot,yes,4-10_days,yes,Lt_to_Rt,Complete,Normal,Low,no
120,yes,Equal,Moderate,Normal,Normal,no,no,5-12,<5,<7.5,Normal,Fallot,no,0-3_days,no,Lt_to_Rt,Complete,Normal,Low,yes
121,no,Equal,Moderate,Normal,Asy/Patch,no,yes,5-12,<5,<7.5,Grd_Glass,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Abnormal,Low,no
122,no,Equal,Moderate,Normal,Oligaemic,no,no,<5,<5,<7.5,Oligaemic,Fallot,no,0-3_days,no,Lt_to_Rt,Complete,Normal,Low,no
123,no,Equal,Severe,High,Asy/Patch,no,no,12+,<5,>=7.5,Asy/Patchy,TAPVD,yes,11-30_days,no,None,Complete,Congested,Normal,yes
124,yes,Equal,Moderate,High,Normal,no,no,5-12,5-12,>=7.5,Normal,Fallot,no,11-30_days,no,None,Complete,Normal,Low,no
125,no,Unequal,Mild,High,Oligaemic,yes,yes,<5,<5,>=7.5,Oligaemic,Fallot,yes,4-10_days,no,Lt_to_Rt,Complete,Abnormal,Low,no
126,no,Equal,Severe,High,Asy/Patch,yes,no,5-12,12+,>=7.5,Asy/Patchy,TGA,yes,11-30_days,no,None,Transp.,Abnormal,Normal,no
127,no,Equal,Moderate,Normal,Oligaemic,no,yes,5-12,5-12,<7.5,Oligaemic,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
128,no,Equal,Severe,Normal,Normal,no,no,<5,<5,<7.5,Asy/Patchy,TGA,no,11-30_days,no,None,Transp.,Normal,Normal,no
129,no,Equal,Severe,Normal,Oligaemic,no,no,<5,<5,<7.5,Oligaemic,TGA,no,4-10_days,no,None,Transp.,Normal,Low,no
130,no,Equal,Moderate,Normal,Asy/Patch,no,no,5-12,5-12,<7.5,Grd_Glass,TAPVD,no,4-10_days,no,Rt_to_Lt,Complete,Congested,Low,no
131,no,Equal,Moderate,Normal,Plethoric,no,yes,<5,<5,<7.5,Plethoric,TGA,no,0-3_days,yes,None,Transp.,Normal,High,yes
132,no,Unequal,Mild,Normal,Normal,no,no,5-12,12+,<7.5,Normal,PAIVS,no,4-10_days,no,Lt_to_Rt,Complete,Normal,Normal,yes
133,no,Equal,Moderate,Normal,Grd_Glass,yes,no,12+,<5,>=7.5,Asy/Patchy,TGA,yes,0-3_days,no,Lt_to_Rt,Mild,Congested,High,no
134,no,Unequal,Moderate,Normal,Normal,no,no,<5,5-12,<7.5,Normal,Fallot,no,11-30_days,no,Lt_to_Rt,Mild,Normal,High,no
135,no,Equal,Moderate,High,Grd_Glass,no,no,5-12,<5,>=7.5,Normal,Fallot,no,0-3_days,no,Lt_to_Rt,Complete,Congested,Low,no
136,no,Equal,Moderate,High,Oligaemic,no,no,<5,5-12,>=7.5,Oligaemic,Fallot,no,0-3_days,no,Lt_to_Rt,Complete,Congested,Low,yes
137,no,Equal,Moderate,Normal,Normal,no,yes,5-12,5-12,<7.5,Normal,PAIVS,no,4-10_days,yes,Lt_to_Rt,Complete,Normal,Normal,no
138,no,Equal,Moderate,Normal,Oligaemic,no,yes,<5,12+,<7.5,Normal,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,yes
139,no,Equal,Moderate,Normal,Plethoric,no,no,5-12,<5,<7.5,Normal,TGA,no,0-3_days,no,None,Transp.,Normal,High,yes
140,no,Equal,Severe,Normal,Oligaemic,no,no,12+,5-12,<7.5,Oligaemic,TGA,no,4-10_days,no,Lt_to_Rt,Transp.,Normal,Low,yes
141,no,Equal,Moderate,Normal,Normal,no,yes,12+,5-12,<7.5,Normal,Fallot,no,11-30_days,yes,None,Complete,Normal,Low,no
142,no,Equal,Moderate,Normal,Normal,yes,no,5-12,<5,<7.5,Normal,TAPVD,yes,0-3_days,no,None,Complete,Normal,High,yes
143,no,Equal,Severe,Normal,Normal,no,no,<5,5-12,<7.5,Normal,TGA,yes,0-3_days,no,None,Transp.,Normal,Normal,no
144,no,Equal,Severe,Normal,Oligaemic,yes,no,<5,<5,<7.5,Oligaemic,Fallot,no,4-10_days,no,Lt_to_Rt,Complete,Normal,Low,no
145,no,Equal,Severe,Normal,Asy/Patch,yes,no,<5,5-12,<7.5,Oligaemic,Fallot,yes,0-3_days,no,None,Complete,Abnormal,Low,no
146,no,Equal,Moderate,Normal,Oligaemic,no,no,5-12,<5,<7.5,Oligaemic,Fallot,yes,4-10_days,no,Lt_to_Rt,Complete,Normal,Low,no
147,no,Unequal,Moderate,Low,Oligaemic,no,yes,<5,<5,>=7.5,Oligaemic,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
148,yes,Equal,Severe,High,Plethoric,no,no,<5,<5,>=7.5,Asy/Patchy,TGA,no,0-3_days,no,None,Transp.,Normal,High,no
149,no,Equal,Severe,Normal,Normal,no,no,<5,<5,>=7.5,Asy/Patchy,TGA,no,0-3_days,no,None,Transp.,Normal,High,no
150,no,Equal,Severe,Low,Plethoric,no,no,<5,5-12,<7.5,Plethoric,TGA,no,11-30_days,no,None,Transp.,Normal,High,no
151,no,Equal,Moderate,Normal,Oligaemic,yes,yes,5-12,<5,<7.5,Oligaemic,PAIVS,yes,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
152,no,Unequal,Severe,Normal,Plethoric,yes,no,<5,<5,>=7.5,Normal,TGA,no,0-3_days,no,None,Transp.,Abnormal,Low,no
153,no,Equal,Moderate,High,Asy/Patch,yes,yes,5-12,5-12,>=7.5,Asy/Patchy,Fallot,yes,4-10_days,yes,Lt_to_Rt,Complete,Abnormal,Normal,no
154,no,Equal,Moderate,Normal,Plethoric,no,no,<5,5-12,<7.5,Plethoric,PAIVS,no,4-10_days,no,Lt_to_Rt,Complete,Congested,Low,yes
155,no,Equal,Severe,Normal,Normal,no,no,5-12,5-12,<7.5,Normal,TGA,no,0-3_days,no,None,Transp.,Normal,Normal,no
156,no,Equal,Moderate,Normal,Grd_Glass,yes,no,5-12,5-12,<7.5,Grd_Glass,TAPVD,yes,0-3_days,no,None,Complete,Congested,Normal,yes
157,no,Unequal,Severe,Normal,Plethoric,no,no,<5,<5,<7.5,Oligaemic,TGA,no,0-3_days,no,None,Transp.,Normal,High,no
158,no,Equal,Moderate,Normal,Normal,no,no,<5,<5,<7.5,Normal,TGA,no,0-3_days,no,None,Mild,Normal,Normal,no
159,no,Equal,Moderate,Normal,Normal,no,no,<5,5-12,<7.5,Normal,Fallot,no,11-30_days,no,Lt_to_Rt,Mild,Normal,Low,no
160,no,Equal,Moderate,High,Oligaemic,yes,no,5-12,<5,>=7.5,Oligaemic,Fallot,yes,4-10_days,no,Lt_to_Rt,Complete,Normal,Low,no
161,no,Equal,Moderate,High,Oligaemic,yes,no,5-12,5-12,>=7.5,Normal,Fallot,no,11-30_days,no,Lt_to_Rt,Mild,Abnormal,Low,no
162,no,Equal,Moderate,Low,Oligaemic,no,no,5-12,12+,<7.5,Oligaemic,Fallot,no,4-10_days,no,Lt_to_Rt,Complete,Normal,Low,no
163,yes,Equal,Moderate,Normal,Asy/Patch,yes,no,<5,5-12,<7.5,Asy/Patchy,Fallot,no,0-3_days,no,Lt_to_Rt,Complete,Abnormal,Low,no
164,no,Equal,Moderate,Normal,Oligaemic,no,yes,5-12,5-12,>=7.5,Oligaemic,PAIVS,no,4-10_days,yes,Lt_to_Rt,Complete,Normal,Low,no
165,no,Equal,Moderate,Low,Grd_Glass,no,no,5-12,5-12,<7.5,Grd_Glass,TGA,no,0-3_days,no,Lt_to_Rt,Transp.,Normal,High,no
