,HISTORY,HREKG,LVFAILURE,ERRLOWOUTPUT,HRSAT,VENTALV,FIO2,VENTLUNG,STROKEVOLUME,LVEDVOLUME,BP,CO,HYPOVOLEMIA,INTUBATION,TPR,VENTMACH,CATECHOL,PULMEMBOLUS,MINVOL,CVP,INSUFFANESTH,HRBP,SAO2,HR,PRESS,ERRCAUTER,PVSAT,VENTTUBE,KINKEDTUBE,DISCONNECT,MINVOLSET,ANAPHYLAXIS,EXPCO2,ARTCO2,PCWP,SHUNT,PAP
26,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
27,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,LOW,HIGH,LOW,LOW,TRUE,NORMAL,LOW,NORMAL,HIGH,FALSE,ZERO,HIGH,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL
28,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,HIGH,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,TRUE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
29,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,LOW,TRUE,HIGH,LOW,HIGH,LOW,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,ZERO,LOW,NORMAL,NORMAL,NORMAL
30,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
31,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,LOW,HIGH,FALSE,NORMAL,LOW,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,NORMAL,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
32,TRUE,HIGH,TRUE,FALSE,HIGH,HIGH,NORMAL,LOW,LOW,LOW,LOW,NORMAL,FALSE,NORMAL,LOW,NORMAL,HIGH,FALSE,HIGH,LOW,FALSE,HIGH,HIGH,HIGH,HIGH,FALSE,HIGH,ZERO,FALSE,TRUE,NORMAL,FALSE,LOW,LOW,LOW,NORMAL,LOW
33,TRUE,HIGH,TRUE,FALSE,HIGH,ZERO,NORMAL,ZERO,LOW,LOW,LOW,NORMAL,FALSE,NORMAL,LOW,NORMAL,HIGH,FALSE,ZERO,LOW,FALSE,HIGH,LOW,HIGH,NORMAL,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,LOW,NORMAL,NORMAL
34,TRUE,LOW,TRUE,FALSE,LOW,HIGH,NORMAL,LOW,LOW,LOW,NORMAL,LOW,FALSE,NORMAL,HIGH,NORMAL,NORMAL,FALSE,HIGH,LOW,FALSE,LOW,HIGH,NORMAL,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,NORMAL,FALSE,LOW,LOW,LOW,NORMAL,NORMAL
35,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,LOW,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,NORMAL,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
36,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,LOW,HIGH,FALSE,NORMAL,LOW,NORMAL,HIGH,FALSE,ZERO,NORMAL,TRUE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
37,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,HIGH,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,LOW,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,LOW,NORMAL,NORMAL
38,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,LOW,HIGH,HIGH,LOW,TRUE,NORMAL,HIGH,NORMAL,HIGH,FALSE,ZERO,HIGH,FALSE,HIGH,LOW,HIGH,LOW,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,HIGH,NORMAL,LOW
39,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,LOW,HIGH,FALSE,NORMAL,LOW,NORMAL,HIGH,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,HIGH,NORMAL,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
40,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,LOW,ZERO,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,LOW,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
41,FALSE,NORMAL,FALSE,FALSE,LOW,ZERO,NORMAL,ZERO,NORMAL,NORMAL,LOW,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,LOW,LOW,NORMAL,LOW,TRUE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
42,FALSE,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,LOW,NORMAL,NORMAL,NORMAL,HIGH,FALSE,NORMAL,HIGH,HIGH,HIGH,FALSE,HIGH,LOW,FALSE,HIGH,HIGH,HIGH,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,FALSE,LOW,LOW,NORMAL,NORMAL,NORMAL
43,FALSE,HIGH,FALSE,TRUE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,LOW,HIGH,FALSE,NORMAL,LOW,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,NORMAL,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
44,TRUE,HIGH,TRUE,FALSE,HIGH,ZERO,NORMAL,ZERO,LOW,LOW,LOW,LOW,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,LOW,TRUE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,LOW,NORMAL,NORMAL
45,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,LOW,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,LOW,NORMAL,NORMAL
46,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,HIGH,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,NORMAL,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
47,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,HIGH,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,LOW,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,LOW
48,TRUE,NORMAL,TRUE,FALSE,NORMAL,ZERO,NORMAL,ZERO,LOW,LOW,LOW,NORMAL,FALSE,NORMAL,LOW,NORMAL,HIGH,TRUE,ZERO,LOW,FALSE,HIGH,LOW,HIGH,NORMAL,TRUE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,LOW,HIGH,HIGH
49,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,LOW,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
50,FALSE,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,FALSE,NORMAL,LOW,HIGH,HIGH,FALSE,HIGH,LOW,FALSE,HIGH,HIGH,HIGH,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,FALSE,LOW,LOW,LOW,NORMAL,HIGH
51,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,LOW,HIGH,LOW,LOW,TRUE,NORMAL,NORMAL,LOW,HIGH,FALSE,ZERO,HIGH,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,ZERO,FALSE,FALSE,HIGH,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL
52,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,HIGH,NORMAL,LOW,HIGH,FALSE,NORMAL,LOW,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,LOW,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,LOW,NORMAL,NORMAL
53,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,LOW,ZERO,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,HIGH,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,NORMAL,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
54,FALSE,NORMAL,FALSE,FALSE,NORMAL,ZERO,NORMAL,ZERO,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,TRUE,HIGH,LOW,HIGH,HIGH,TRUE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
55,FALSE,NORMAL,FALSE,FALSE,HIGH,LOW,NORMAL,HIGH,LOW,HIGH,NORMAL,NORMAL,TRUE,NORMAL,NORMAL,HIGH,HIGH,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,NORMAL,FALSE,TRUE,HIGH,FALSE,HIGH,HIGH,LOW,NORMAL,NORMAL
56,FALSE,LOW,FALSE,FALSE,LOW,ZERO,NORMAL,ZERO,NORMAL,HIGH,NORMAL,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,HIGH,TRUE,LOW,LOW,NORMAL,NORMAL,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,HIGH,HIGH,NORMAL
57,TRUE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,LOW,LOW,HIGH,LOW,LOW,TRUE,ESOPHAGEAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,HIGH,FALSE,LOW,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,NORMAL,HIGH,HIGH,NORMAL,NORMAL
58,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,LOW,NORMAL,NORMAL,LOW,HIGH,FALSE,ESOPHAGEAL,LOW,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,NORMAL,HIGH,NORMAL,NORMAL,NORMAL
59,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,LOW,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
60,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,LOW,HIGH,FALSE,NORMAL,LOW,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
61,FALSE,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,LOW,NORMAL,NORMAL,LOW,HIGH,FALSE,NORMAL,LOW,HIGH,HIGH,FALSE,HIGH,NORMAL,FALSE,HIGH,LOW,HIGH,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,FALSE,LOW,LOW,NORMAL,HIGH,LOW
62,FALSE,HIGH,FALSE,TRUE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,NORMAL,LOW,HIGH,NORMAL,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,HIGH
63,FALSE,NORMAL,FALSE,FALSE,NORMAL,LOW,NORMAL,HIGH,NORMAL,HIGH,LOW,HIGH,TRUE,NORMAL,LOW,NORMAL,HIGH,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,HIGH,LOW,TRUE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,HIGH,HIGH,HIGH,NORMAL,NORMAL
64,FALSE,LOW,FALSE,FALSE,LOW,HIGH,NORMAL,LOW,NORMAL,NORMAL,NORMAL,LOW,FALSE,NORMAL,HIGH,HIGH,NORMAL,FALSE,HIGH,NORMAL,FALSE,LOW,HIGH,LOW,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,FALSE,LOW,LOW,NORMAL,NORMAL,NORMAL
65,FALSE,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,LOW,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,HIGH,NORMAL,FALSE,HIGH,HIGH,HIGH,HIGH,FALSE,HIGH,ZERO,FALSE,FALSE,NORMAL,FALSE,LOW,LOW,NORMAL,NORMAL,NORMAL
66,TRUE,LOW,TRUE,FALSE,LOW,HIGH,NORMAL,LOW,LOW,LOW,LOW,LOW,FALSE,NORMAL,NORMAL,HIGH,NORMAL,FALSE,HIGH,LOW,FALSE,LOW,HIGH,NORMAL,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,FALSE,ZERO,NORMAL,LOW,NORMAL,NORMAL
67,FALSE,LOW,FALSE,FALSE,NORMAL,ZERO,NORMAL,ZERO,NORMAL,HIGH,LOW,NORMAL,TRUE,NORMAL,LOW,NORMAL,HIGH,FALSE,ZERO,HIGH,FALSE,LOW,LOW,NORMAL,NORMAL,TRUE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL
68,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,NORMAL,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
69,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
